step,total_loss,learning_rate,beats_features,whisper_features
887,1.5341796875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']", Human is the head that's mancing in the wall.
888,1.7001953125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']", Human is the head that's mancing in the woe.
889,1.6650390625,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/0838f', '/m/07rgkc5']", Human is the head that's mancing in the woe.
890,1.736328125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/0838f', '/m/07rgkc5']", Human is the head that's mancing in the woe.
891,1.6298828125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/0838f', '/m/07rgkc5']", Human is the head that's mancing in the woe.
892,2.26171875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/0838f', '/m/07rgkc5']", Human is the hay that's mancing in the woe.
893,1.73828125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/0838f', '/m/07rgkc5']", Human is the hay that's mancing in the wool.
894,1.880859375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/0838f', '/m/07rgkc5']", Human is the hay that's mancing in the wool.
895,1.5078125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/0838f', '/m/07rgkc5']", Human is the head that's mancing in the world.
896,1.5029296875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']", Human is the head that's mancing in the world.
897,1.6328125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']", Human is the head that's mancing in the wall.
898,1.439453125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']"," You're in the head, it's mancing in the wall."
899,1.8359375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']", It's the head that's mancing in the wall.
900,1.4892578125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']", It's the head that's mancing in the wall.
901,1.9052734375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']", Human is the head that's mancing in the world.
902,1.841796875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']", Human is the hay that's mancing in the woe.
903,1.80859375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']", Human is the hay that's mancing in the woe.
904,2.095703125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']", Human is the hay that's mancing in the woe.
905,1.666015625,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']", Human is the hay that's mancing in the wool.
906,1.6630859375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']", Human is the hate that's mounting in the world.
907,1.7685546875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']", It's ruining the hay and it's mancing in the wool.
908,2.376953125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']", It's ruining the hay and it's mancing in the wool.
909,2.40234375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']", It's the head that's mounting in the wall.
910,1.7666015625,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']", It's the head that's mounting in the wall.
911,1.650390625,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']", It's the head that's mounting in the wall.
912,2.0078125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']", It's the head that's mounting in the wall.
913,1.9716796875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']", It's the head that's mounting in the wall.
914,1.564453125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/0838f']"," You're in the head, it's mounting in the wall."
